nome;e_mail;cpf;telefone
amanda;amanda@gmail.com;266.203.810-14;(51) 99220-3025
Diego;tst12@gmail;154.455.740-08;(51) 99250-2932
Juca;jucabala123@gmail.com;025.305.410-94;(51) 92737-4432
Lucas;lucas@gmail.com;003.123.456-78;(51) 92737-4432
Lucas;testing@gmail.com;001.728.367-26;(51) 92738-3826
Lucca;lucca@gmail.com;003.123.456-12;(51) 92736-3626
Luccass;luccass@gmail.com;001.001.001-01;(51) 92736-7367
testes;testes@gmail;879.317.890-59;(51) 92183-6128
link;test22@gmail.com;001.172.836-28;(51) 92234-2423
Lucas;lucas@gmail.com;003.321.456-78;(51) 92738-7263
